hotel_name,reviewer_name,ethnicity,num_reviews,date,rating,neg_review,pos_review
Oakwood Boston,Anonymous,Australia,1 review,October 28  2017,9.6,No concerns. The gym room was small but manageable.,Convenient location. Helpful concierge after hours. Organised later check out as promised without any problems. Well equipped kitchenette. Comfortable bed.
Oakwood Boston,Dr,Qatar,4 Reviews,October 26  2017,10,None,Good locationFamily friendly2 bedrooms and 2 bathrooms and extra rollaway bed to put in hallway. Perfect for big family or 2 small related families.
Oakwood Boston,Anonymous,Switzerland,8 Reviews,October 17  2017,8.8,N/A,FABULOUS location (historic sites. aquarium. Quincy market. near 3 subway lines. drop back in between sites!). Oakwood staff very helpful with registration process. lots of space and comfort for our family.
Oakwood Boston,Robin,United States of America,4 Reviews,September 15  2017,6.3,The bed is miserably uncomfortable.  The shower curtain sticks to you while you shower and the grout in the bathroom needs to be cleaned or replaced,Property is in a great location. Central to everything you want to see. Having 2 bdrm was great
Oakwood Boston,Overseeas,Saudi Arabia,2 Reviews,July 27  2017,7.5,Carpet needs to be cleaner.,Two bedrooms and 2 bathrooms. Good space for sitting and dining. Availability of full kitchen. Washer and dryer. Near to harbor. Nearby restaurants and activities.
Oakwood Boston,Aj,Egypt,3 Reviews,July 2  2017,4.6,The house keeping is sooo expensive and they don't even put u toilet paper when it's finished  or anything just cleaning with 157.00 dollars per day!!! We had to wait for any guest to open the main door when we arrived with there key because the concierge wasn't on desk and we had to wait outside the property with kids and bags.,N/A
Oakwood Boston,Susan,Australia,14 Reviews,May 28  2017,10,There was no kettle and the fridge was really noisy. It was hard to see the controls on the washing machine.,Really good location in a beautiful building. The apartment was spacious and comfortable and very quiet. I can thoroughly recommend this property.
Oakwood Boston,Susan,United States of America,1 review,May 25  2017,9.6,Booking this property is confusing.  You receive a third party contract that lists different date than you actually book.  However. the Oakwood general help staff are excellent and are available 24/7 by phone.This property is not a hotel so people should not expect to have any cleaning services unless you pay for it which is quite expensive.  However. there is a vacuum  and broom in the room if needed. I will always use this property whenever we visit Boston.,The location is perfect.  We traveled with our son and his wife. and our adult daughter.  Two bedrooms and a pull out sleeper in the living room . ample closet space. hangers and linens.Having a full kitchen. dishwasher and W/D is wonderful.  This was two blocks from the wedding we attended at the Boston Aquarium and the pre-wedding events.
Oakwood Boston,Anonymous,Canada,1 review,May 24  2017,9.2,It seems oakwood has some learning to do related to overnight and very short stay guests as they are used to catering to a longer term guest. There was a number of miscommunications related to the room booking. deposits. cancellations policy. etc. We were given the wrong room initially upon arrival.,Excellent location and very suitable for our needs.
Oakwood Boston,Carol,Canada,2 Reviews,May 24  2017,7.5,They do not offer parking. which makes things difficult if you have someone with mobility issues. However there is a parking garage behind them that you can request a daily pass from which gives you in and out privileges. It is pricey but does allow you to have a rental car on hand.,It is located near the subway and very easy to get to the wharf for all kinds of activities. It three great Irish pubs within walking distance.
