hotel_name,class_of_rating,rating,num_reviews
Oakwood Boston,Excellent,8.7,83
14 Gloucester St #2B by Lyon Apartments,N/A,N/A,N/A
Garrison Street Apartment by Stay Alfred,Very Good,8.5,204
14 Gloucester St #2A by Lyon Apartments,N/A,N/A,N/A
Clearway Street by Boston Furnished Rooms,N/A,N/A,N/A
The Copley House,Very Good,8.1,2798
Two Bedroom Boston Luxury Apartment,Exceptional,9.8,24
14 Gloucester St #4A by Lyon Apartments,N/A,N/A,N/A
Hyatt Regency Boston Harbor,Excellent,8.6,1359
Ramada Boston,Review score,6.9,2248
Global Luxury Suites at Fenway,Excellent,8.6,118
Boston Harbor View Luxury Suites,Very Good,8.2,172
The Godfrey Hotel Boston,Awesome,9.0,2289
Global Luxury Suites at Fenway Park,Good,7.9,233
Westin Boston Waterfront,Very Good,8.4,366
102 Chandler #8 By Lyon Apartments,N/A,N/A,N/A
102 Chandler #4 By Lyon Apartments,N/A,N/A,N/A
Loews Boston Hotel,Awesome,9.0,2018
One-Bedroom on Washington Street Apt 304,N/A,N/A,N/A
Global Luxury Suites at The Theater District,Good,7.8,47
Hotel 140,Very Good,8.0,2700
Garrison Street Apartment by Stay Alfred,Very Good,8.5,204
The Westin Copley Place Boston,Excellent,8.6,1191
Washington Street Apartment by Stay Alfred,Excellent,8.9,255
Four Seasons Boston,Awesome,9.0,198
Kenmore Apartments by Starlight Suites,N/A,N/A,N/A
Boston Hotel Buckminster,Very Good,8.0,2530
Longfellow Place Apartment by Stay Alfred,Very Good,8.5,204
Seaport Boston Hotel,Awesome,9.1,1924
112 Myrtle St #5 by Lyon Apartments,Very Good,8.4,17
112 Myrtle St #5 by Lyon Apartments,Very Good,8.4,17
Two-Bedroom on Milk Street Apt 5B,Awesome,9.2,6
14 Gloucester Street by Lyon Apartments,Very Good,8.4,42
D Street,N/A,N/A,N/A
112 Myrtle St #9 by Lyon Apartments,Very Good,8.1,32
Sheraton Boston Hotel,Very Good,8.3,3283
The Colonnade Hotel,Excellent,8.6,1212
Newbury Guest House,Excellent,8.9,608
Two-Bedroom on D Street Apt 344,N/A,N/A,N/A
One-Bedroom on Arch Street Apt 5D,Very Good,8.5,15
Wyndham Boston Beacon Hill,Good,7.8,1887
Harborside Inn,Very Good,8.5,1987
Three-Bedroom on Hamilton Place Apt 305,N/A,N/A,N/A
Bluebird Suites In The Heart of Fenway,Very Good,8.4,62
14 Gloucester Street #G by Lyon Apartments,N/A,N/A,N/A
14 Gloucester Street 4B,N/A,N/A,N/A
Taj Boston,Excellent,8.8,2185
Hyatt Regency Boston Harbor,Excellent,8.6,1359
112 Myrtle St #7 by Lyon Apartments,Very Good,8.0,15
InterContinental Boston,Awesome,9.0,728
One-Bedroom on Washington Street Apt 204,N/A,N/A,N/A
The Bostonian Boston,Excellent,8.9,974
Aloft Boston Seaport,Very Good,8.5,764
The Lenox,Awesome,9.3,897
Patrick's Place,N/A,N/A,N/A
Three-Bedroom on Hamilton Place Apt 508,N/A,N/A,N/A
Temple Place Suites by Short Term Rentals Boston,Good,7.3,124
Bluebird Suites at Boston's Theatre District,Very Good,8.2,58
102 Chandler #6 By Lyon Apartments,N/A,N/A,N/A
Hilton Garden Inn Boston Logan Airport,Awesome,9.0,947
Temple Place Suites by Short Term Rentals Boston,Good,7.3,124
